modelo,MAE,WAPE,TQS
Linea Base,361.9375,24.993526111350885,37.5
Random Forest Inicial,464.1496875,32.0517695295641,25.0
Random Forest Optimizado,470.2995833333333,32.476449431736434,25.0
Random Forest Optimizado Ajustado,731.5609999999999,50.517807509710835,12.5
