modelo,MAE,WAPE,TQS,quiebres,sobreestimacion
Linea Base,265.625,15.878115846733218,45.0,18,55.00000000000001
Random Forest,334.57366666666667,19.999621415904517,45.0,18,55.00000000000001
Random Forest Ajustado 1.08,382.6586800000001,22.873972144180772,25.0,10,75.0
